episode,reward,steps,finished,offtrack_ratio,tiles_visited
1,-234.99999999999983,50,0,1.0,4
2,-224.9999999999998,50,0,1.0,5
3,-214.9999999999998,50,0,1.0,6
4,-244.99999999999983,50,0,1.0,3
5,-244.9999999999998,50,0,1.0,3
6,-234.99999999999983,50,0,1.0,4
7,-224.9999999999998,50,0,1.0,5
8,-224.9999999999998,50,0,1.0,5
9,-234.99999999999983,50,0,1.0,4
10,-234.9999999999998,50,0,1.0,4
11,-234.99999999999983,50,0,1.0,4
12,-234.99999999999983,50,0,1.0,4
13,-234.9999999999998,50,0,1.0,4
14,-224.9999999999998,50,0,1.0,5
15,-244.9999999999998,50,0,1.0,3
16,-234.99999999999983,50,0,1.0,4
17,-244.9999999999998,50,0,1.0,3
18,-234.9999999999998,50,0,1.0,4
19,-234.9999999999998,50,0,1.0,4
20,-244.9999999999998,50,0,1.0,3
21,-244.9999999999998,50,0,1.0,3
22,-234.9999999999998,50,0,1.0,4
23,-224.9999999999998,50,0,1.0,5
24,-234.9999999999998,50,0,1.0,4
25,-234.9999999999998,50,0,1.0,4
26,-234.9999999999998,50,0,1.0,4
27,-234.99999999999983,50,0,1.0,4
28,-234.9999999999998,50,0,1.0,4
29,-234.99999999999983,50,0,1.0,4
30,-244.9999999999998,50,0,1.0,3
31,-234.99999999999983,50,0,1.0,4
32,-234.99999999999983,50,0,1.0,4
33,-214.99999999999983,50,0,1.0,6
34,-244.9999999999998,50,0,1.0,3
35,-234.99999999999983,50,0,1.0,4
36,-234.9999999999998,50,0,1.0,4
37,-244.9999999999998,50,0,1.0,3
38,-234.9999999999998,50,0,1.0,4
39,-214.99999999999983,50,0,1.0,6
40,-224.9999999999998,50,0,1.0,5
41,-234.9999999999998,50,0,1.0,4
42,-234.9999999999998,50,0,1.0,4
43,-234.99999999999983,50,0,1.0,4
44,-234.9999999999998,50,0,1.0,4
45,-244.9999999999998,50,0,1.0,3
46,-234.99999999999983,50,0,1.0,4
47,-234.9999999999998,50,0,1.0,4
48,-234.9999999999998,50,0,1.0,4
49,-214.99999999999983,50,0,1.0,6
50,-244.9999999999998,50,0,1.0,3
51,-224.9999999999998,50,0,1.0,5
52,-224.99999999999983,50,0,1.0,5
53,-244.9999999999998,50,0,1.0,3
54,-234.9999999999998,50,0,1.0,4
55,-234.9999999999998,50,0,1.0,4
56,-234.9999999999998,50,0,1.0,4
57,-224.99999999999983,50,0,1.0,5
58,-234.9999999999998,50,0,1.0,4
59,-234.9999999999998,50,0,1.0,4
60,-234.99999999999983,50,0,1.0,4
61,-234.9999999999998,50,0,1.0,4
62,-244.9999999999998,50,0,1.0,3
63,-244.9999999999998,50,0,1.0,3
64,-234.9999999999998,50,0,1.0,4
65,-224.99999999999983,50,0,1.0,5
66,-234.99999999999983,50,0,1.0,4
67,-234.9999999999998,50,0,1.0,4
68,-234.9999999999998,50,0,1.0,4
69,-234.9999999999998,50,0,1.0,4
70,-244.9999999999998,50,0,1.0,3
71,-224.99999999999983,50,0,1.0,5
72,-224.99999999999983,50,0,1.0,5
73,-234.9999999999998,50,0,1.0,4
